level,answer
1,true
2,true
3,false
4,true
5,false
6,true
7,false
8,false
9,true
10,true
11,false
12,false
13,false
14,false
15,true
16,false
17,true
18,false
19,true
20,true
21,false
22,false
23,true
24,true
25,true
26,true
27,true
28,true
29,false
30,true
31,false
32,false
33,true
34,false
35,false
36,false
37,false
38,true
39,true
40,true
41,true
42,true
43,true
44,true
45,false
46,true
47,false
48,false
49,true
50,true
51,false
52,true
53,false
54,false
55,true
56,false
57,true
58,true
59,true
60,true
61,true
62,false
63,true
64,false
65,true
66,true
67,false
68,true
69,true
70,true
71,true
72,true
73,false
74,true
75,false
76,true
77,true
78,false
79,false
80,false
81,false
82,true
83,true
84,false
85,true
86,true
87,true
88,true
89,true
90,false
91,true
92,false
93,false
94,false
95,true
96,true
97,false
98,false
99,true
100,false
101,false
102,true
103,true
104,false
105,true
106,false
107,true
108,true
109,false
110,true
111,false
112,false
113,false
114,true
115,true
116,true
117,false
118,true
119,false
120,false
121,true
122,true
123,true
124,false
125,true
126,false
127,true
128,false
129,false
130,true
131,false
132,true
133,true
134,true
135,true
136,false
137,true
138,true
139,false
140,true
141,false
142,false
143,false
144,true
145,false
146,true
147,true
148,true
149,true
150,false
151,false
152,true
153,false
154,true
155,false
156,true
157,true
158,false
159,true
160,false
161,true
162,true
163,false
164,false
165,true
166,false
167,false
168,true
169,false
170,true
171,true
172,true
173,true
174,true
175,false
176,true
177,false
178,false
179,true
180,false
181,false
182,false
183,true
184,false
185,true
186,true
187,true
188,true
189,false
190,true
191,false
192,true
193,true
194,false
195,true
196,false
197,true
198,false
199,false
200,true
201,true
202,false
203,true
204,true
205,true
206,false
207,true
208,false
209,false
210,false
211,false
212,true
213,false
214,false
215,true
216,false
217,true
218,false
219,false
220,true
221,true
222,true
223,false
224,false
225,true
226,true
227,false
228,false
229,true
230,true
231,false
232,true
233,true
234,false
235,false
236,true
237,true
238,true
239,false
240,false
241,false
242,true
243,true
244,true
245,true
246,false
247,true
248,true
249,false
250,false
251,true
252,false
253,false
254,true
255,true
256,true
257,false
258,true
259,false
260,true
261,true
262,false
263,true
264,false
265,true
266,true
267,false
268,true
269,true
270,true
271,true
272,false
273,false
274,false
275,true
276,true
277,false
278,false
279,false
280,false
281,true
282,false
283,false
284,true
285,false
286,true
287,true
288,true
289,true
290,false
291,false
292,true
293,true
294,false
295,false
296,true
297,true
298,false
299,false
300,true
301,true
302,false
303,true
304,true
305,false
306,true
307,false
308,false
309,true
310,true
311,true
312,true
313,false
314,false
315,true
316,false
317,true
318,false
319,true
320,false
321,true
322,false
323,true
324,true
325,false
326,false
327,false
328,false
329,true
330,true
331,true
332,true
333,true
334,true
335,false
336,false
337,true
338,false
339,true
340,true
341,false
342,true
343,true
344,true
345,false
346,false
347,false
348,false
349,true
350,true
351,false
352,false
353,false
354,true
355,false
356,true
357,false
358,true
359,true
360,true
361,true
362,false
363,false
364,false
365,false
366,true
367,false
368,true
369,false
370,false
371,false
372,true
373,true
374,true
375,false
376,false
377,true
378,false
379,false
380,true
381,false
382,false
383,false
384,true
385,true
386,false
387,true
388,true
389,false
390,false
391,false
392,false
393,true
394,false
395,false
396,true
397,true
398,false
399,false
400,false
401,false
402,true
403,false
404,false
405,true
406,false
407,true
408,true
409,false
410,false
411,false
412,true
413,false
414,true
415,true
416,false
417,false
418,false
419,true
420,true
421,false
422,true
423,false
424,false
425,true
426,false
427,true
428,false
429,false
430,false
431,true
432,false
433,true
434,false
435,false
436,true
437,true
438,true
439,false
440,true
441,true
